MHB_type	Sample	PT_state	loci	nReads	nCPG	MM	PDR	CHALM	MHL	MCR	MBS	Entropy	R2
combinedAll	SDKZ0057	PT-altered	chr1_14929628_14929775	18	8	0.59154930	0.54545455	0.81818182	0.39147710	0.19718310	0.40719697	0.68330155	0.22847222
combinedAll	SDKZ0057	PT-healthy	chr1_14949927_14950014	14	5	0.39726027	0.54545455	0.63636364	0.21685598	0.27397260	0.20826891	0.67371763	0.50745229
combinedAll	SDKZ0057	PT-altered	chr1_14949927_14950014	14	5	0.33870968	0.63636364	0.63636364	0.06955726	0.32258065	0.14712173	0.76474602	0.42337491
combinedAll	SDKZ0057	PT-healthy	chr1_15583336_15583671	33	13	0.04444444	0.11538462	0.11538462	0.00454066	0.05185185	0.02019231	0.15772937	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_15583336_15583671	26	13	0.19607843	0.18750000	0.25000000	0.09549151	0.03921569	0.16543403	0.31429075	0.90000000
combinedAll	SDKZ0057	PT-healthy	chr1_15876222_15876524	38	17	0.05454545	0.06666667	0.10000000	0.00380050	0.07727273	0.03478652	0.12279743	0.73486111
combinedAll	SDKZ0057	PT-altered	chr1_15876222_15876524	26	17	0.08800000	0.09523810	0.14285714	0.01056512	0.06400000	0.07514881	0.17809077	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_16094672_16094826	27	12	0.27751196	0.12500000	0.37500000	0.15373392	0.09569378	0.28523902	0.29832365	0.88517294
combinedAll	SDKZ0057	PT-altered	chr1_16094672_16094826	43	12	0.18767507	0.15384615	0.33333333	0.10057639	0.16526611	0.18120376	0.29118982	0.63701222
combinedAll	SDKZ0057	PT-healthy	chr1_16535134_16535288	28	9	0.21554770	0.71428571	0.71428571	0.01376008	0.48056537	0.06603214	0.58693086	0.48602024
combinedAll	SDKZ0057	PT-altered	chr1_16535134_16535288	15	9	0.11333333	0.53333333	0.53333333	0.00770515	0.44666667	0.05479390	0.40115868	0.24671202
combinedAll	SDKZ0057	PT-healthy	chr1_16772757_16772874	46	6	0.12500000	0.12500000	0.12500000	0.07798060	0.10625000	0.05373087	0.22489191	0.50735747
combinedAll	SDKZ0057	PT-altered	chr1_16772757_16772874	44	6	0.02836879	0.00000000	0.00000000	0.00174955	0.03546099	0.00000000	-0.00000000	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_16872700_16872799	18	6	0.21428571	0.41176471	0.47058824	0.07350132	0.19047619	0.12872911	0.53214019	0.50549046
combinedAll	SDKZ0057	PT-altered	chr1_16872700_16872799	24	6	0.24590164	0.44444444	0.50000000	0.06559948	0.25136612	0.17687519	0.46886741	0.83609788
combinedAll	SDKZ0057	PT-healthy	chr1_16948276_16948644	35	22	0.07909605	0.10000000	0.15000000	0.09323814	0.02824859	0.06762500	0.15186155	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_16948276_16948644	60	22	0.19393939	0.18918919	0.27027027	0.06327343	0.05757576	0.15239888	0.31800818	0.75144624
combinedAll	SDKZ0057	PT-healthy	chr1_19338481_19338772	23	24	0.12077295	0.15789474	0.26315789	0.09958891	0.14009662	0.10779159	0.16788936	0.85714286
combinedAll	SDKZ0057	PT-altered	chr1_19338481_19338772	24	24	0.17676768	0.19047619	0.28571429	0.03701782	0.10606061	0.14142425	0.33108795	0.80556796
combinedAll	SDKZ0057	PT-healthy	chr1_21336524_21336625	13	8	0.19387755	0.46153846	0.53846154	0.03422495	0.33673469	0.10144788	0.54643491	0.50123457
combinedAll	SDKZ0057	PT-altered	chr1_21336524_21336625	11	8	0.35365854	0.63636364	0.63636364	0.04084196	0.30487805	0.17340830	0.79719304	0.14500000
combinedAll	SDKZ0057	PT-healthy	chr1_22578777_22578920	14	5	0.83928571	0.33333333	0.91666667	0.81865079	0.08928571	0.74479167	0.35747779	0.35681818
combinedAll	SDKZ0057	PT-altered	chr1_22578777_22578920	18	5	0.87323944	0.30000000	1.00000000	0.63246069	0.12676056	0.84247222	0.38922527	-0.01000000
combinedAll	SDKZ0057	PT-healthy	chr1_26318997_26319083	11	5	0.83050847	0.60000000	1.00000000	0.88635533	0.16949153	0.62961111	0.53358403	0.43750000
combinedAll	SDKZ0057	PT-altered	chr1_26318997_26319083	14	5	0.90476190	0.40000000	1.00000000	0.46485224	0.09523810	0.71373299	0.45510954	-0.03571429
combinedAll	SDKZ0057	PT-healthy	chr1_27031223_27031332	11	5	0.42647059	0.90909091	0.90909091	0.06029438	0.51470588	0.18227054	0.87432493	0.10763889
combinedAll	SDKZ0057	PT-altered	chr1_27031223_27031332	12	5	0.32051282	0.66666667	0.75000000	0.03313959	0.41025641	0.22243702	0.67268941	0.39085743
combinedAll	SDKZ0057	PT-healthy	chr1_28251664_28251737	11	9	0.16304348	0.27272727	0.36363636	0.02133521	0.21739130	0.11436760	0.33582787	0.82417582
combinedAll	SDKZ0057	PT-altered	chr1_28251664_28251737	23	9	0.37106918	0.21052632	0.42105263	0.39308235	0.06289308	0.30415507	0.33739756	0.85735530
combinedAll	SDKZ0057	PT-healthy	chr1_28352122_28352329	15	12	0.07920792	0.30769231	0.30769231	0.00270864	0.26732673	0.02032216	0.28357091	0.62500000
combinedAll	SDKZ0057	PT-altered	chr1_28352122_28352329	20	12	0.12781955	0.44444444	0.44444444	0.00895971	0.36842105	0.02861834	0.48529362	0.62808642
combinedAll	SDKZ0057	PT-healthy	chr1_30089225_30089301	11	5	0.16417910	0.72727273	0.72727273	0.00523573	0.59701493	0.04657161	0.59722210	0.04859694
combinedAll	SDKZ0057	PT-altered	chr1_30089225_30089301	18	5	0.18947368	0.53333333	0.53333333	0.01569193	0.38947368	0.07088379	0.68396246	0.26672512
combinedAll	SDKZ0057	PT-healthy	chr1_31950905_31951030	17	8	0.51327434	0.61538462	0.69230769	0.15454664	0.20353982	0.34556704	0.59154450	0.60714286
combinedAll	SDKZ0057	PT-altered	chr1_31950905_31951030	12	8	0.60294118	0.30000000	0.70000000	0.71708876	0.05882353	0.50500638	0.53125000	0.63812500
combinedAll	SDKZ0057	PT-healthy	chr1_36258499_36258758	26	12	0.09756098	0.35294118	0.35294118	0.04793745	0.20325203	0.05282513	0.34216790	0.72314815
combinedAll	SDKZ0057	PT-altered	chr1_36258499_36258758	25	12	0.13559322	0.05000000	0.15000000	0.15627078	0.04237288	0.10138889	0.17632276	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_37519305_37519405	20	7	0.39024390	0.40000000	0.66666667	0.08710232	0.21138211	0.32682407	0.53056580	0.67646259
combinedAll	SDKZ0057	PT-altered	chr1_37519305_37519405	17	7	0.33684211	0.46153846	0.53846154	0.06124394	0.20000000	0.21952130	0.72801857	0.74111111
combinedAll	SDKZ0057	PT-healthy	chr1_37995834_37996315	32	44	0.04154303	0.20000000	0.20000000	0.00111300	0.15727003	0.01229321	0.17504774	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_37995834_37996315	22	44	0.11520737	0.35000000	0.35000000	0.00655688	0.22580645	0.02669574	0.39965564	0.14285714
combinedAll	SDKZ0057	PT-healthy	chr1_39559104_39559743	36	29	0.38461538	0.12500000	0.45833333	0.18717076	0.02958580	0.37442130	0.35011572	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_39559104_39559743	26	29	0.54135338	0.05555556	0.61111111	0.54104157	0.03007519	0.55777778	0.26632491	0.87111111
combinedAll	SDKZ0057	PT-healthy	chr1_40133185_40133284	14	7	0.12605042	0.61538462	0.61538462	0.00393019	0.57142857	0.01837501	0.59751178	0.01041667
combinedAll	SDKZ0057	PT-altered	chr1_40133185_40133284	18	7	0.20000000	0.47058824	0.47058824	0.01085049	0.24000000	0.10089091	0.53275249	0.09105615
combinedAll	SDKZ0057	PT-healthy	chr1_41117391_41117574	22	11	0.07874016	0.33333333	0.33333333	0.00493935	0.16535433	0.04080933	0.21364668	0.63484848
combinedAll	SDKZ0057	PT-altered	chr1_41117391_41117574	23	11	0.09302326	0.40000000	0.40000000	0.00553229	0.30232558	0.02669342	0.24356830	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_41432464_41432640	25	10	0.16101695	0.33333333	0.33333333	0.00838172	0.21186441	0.03452507	0.37757176	0.38194444
combinedAll	SDKZ0057	PT-altered	chr1_41432464_41432640	22	10	0.12389381	0.11764706	0.23529412	0.04322838	0.12389381	0.11986928	0.19102851	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_41484554_41484691	14	9	0.03488372	0.09090909	0.09090909	0.00258479	0.05813953	0.01278409	0.15003543	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_41484554_41484691	21	9	0.02836879	0.18750000	0.18750000	0.00051580	0.14893617	0.00370129	0.17018206	0.15913212
combinedAll	SDKZ0057	PT-healthy	chr1_43120361_43120566	20	14	0.11188811	0.16666667	0.22222222	0.02404656	0.11888112	0.09395155	0.32354625	0.65432099
combinedAll	SDKZ0057	PT-altered	chr1_43120361_43120566	18	14	0.21311475	0.21428571	0.28571429	0.26515762	0.13934426	0.09728313	0.50723637	0.59899376
combinedAll	SDKZ0057	PT-healthy	chr1_44813095_44813203	17	11	0.14646465	0.31250000	0.31250000	0.05390453	0.29797980	0.02054274	0.41263822	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_44813095_44813203	18	11	0.01515152	0.17647059	0.17647059	0.00027548	0.24242424	0.00074947	0.14512088	-0.01234568
combinedAll	SDKZ0057	PT-healthy	chr1_45553864_45553989	21	7	0.11000000	0.53846154	0.53846154	0.00375879	0.39000000	0.01603371	0.40923797	0.23809524
combinedAll	SDKZ0057	PT-altered	chr1_45553864_45553989	14	7	0.20270270	0.50000000	0.50000000	0.01372114	0.27027027	0.07871857	0.62062729	0.15625000
combinedAll	SDKZ0057	PT-healthy	chr1_46331921_46332179	31	15	0.26486486	0.44000000	0.48000000	0.26456646	0.25405405	0.11597188	0.61946933	0.39213244
combinedAll	SDKZ0057	PT-altered	chr1_46331921_46332179	31	15	0.22424242	0.33333333	0.45833333	0.09758939	0.19393939	0.17012221	0.54865307	0.58863706
combinedAll	SDKZ0057	PT-healthy	chr1_47185941_47186256	33	11	0.01724138	0.06666667	0.06666667	0.00147635	0.01724138	0.01666667	0.05713454	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_47185941_47186256	29	11	0.06896552	0.25000000	0.25000000	0.00410509	0.14655172	0.02640625	0.21275033	0.42857143
combinedAll	SDKZ0057	PT-healthy	chr1_54621109_54621317	21	9	0.18867925	0.07142857	0.28571429	0.11787974	0.07547170	0.21540179	0.29413240	0.83717320
combinedAll	SDKZ0057	PT-altered	chr1_54621109_54621317	15	9	0.21176471	0.20000000	0.40000000	0.12126500	0.15294118	0.20401235	0.27517084	0.84415584
combinedAll	SDKZ0057	PT-healthy	chr1_54622407_54622563	23	7	0.10204082	0.18750000	0.18750000	0.00900256	0.10204082	0.04763455	0.30656406	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_54622407_54622563	19	7	0.32500000	0.36363636	0.45454545	0.16220658	0.21250000	0.19442200	0.63738086	0.78306878
combinedAll	SDKZ0057	PT-healthy	chr1_58624572_58624705	16	9	0.72380952	0.73333333	1.00000000	0.51213135	0.24761905	0.44232565	0.74942347	0.01041667
combinedAll	SDKZ0057	PT-altered	chr1_58624572_58624705	14	9	0.71951220	0.90909091	1.00000000	0.22982135	0.28048780	0.35852411	0.75443581	-0.14285714
combinedAll	SDKZ0057	PT-healthy	chr1_65153339_65153522	34	6	0.15151515	0.40000000	0.40000000	0.02680903	0.19191919	0.04225000	0.47452334	0.16432540
combinedAll	SDKZ0057	PT-altered	chr1_65153339_65153522	27	6	0.21428571	0.70000000	0.70000000	0.03264829	0.29761905	0.10650000	0.46875000	0.19191919
combinedAll	SDKZ0057	PT-healthy	chr1_65550604_65550813	23	12	0.16556291	0.50000000	0.54545455	0.03356513	0.30463576	0.07811637	0.46257658	0.37861472
combinedAll	SDKZ0057	PT-altered	chr1_65550604_65550813	24	12	0.30303030	0.34782609	0.39130435	0.18737621	0.16363636	0.14116883	0.62757335	0.61330031
combinedAll	SDKZ0057	PT-healthy	chr1_68051461_68051861	29	29	0.51366120	0.24000000	0.68000000	0.32205590	0.14207650	0.52316896	0.49485582	0.71428571
combinedAll	SDKZ0057	PT-altered	chr1_68051461_68051861	22	29	0.63157895	0.46666667	0.80000000	0.50582896	0.06140351	0.55247392	0.49852105	0.44444444
combinedAll	SDKZ0057	PT-healthy	chr1_71043878_71044309	23	17	0.93269231	0.31250000	1.00000000	0.52340830	0.06730769	0.83737387	0.36735008	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_71043878_71044309	41	17	0.93641618	0.25000000	1.00000000	0.80973062	0.06358382	0.85072279	0.38822838	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_71045718_71046280	30	31	0.74712644	0.57142857	0.85714286	0.46125455	0.12643678	0.51971627	0.62145512	0.87142857
combinedAll	SDKZ0057	PT-altered	chr1_71045718_71046280	48	31	0.84824903	0.53571429	0.96428571	0.57697486	0.09727626	0.65118038	0.46783328	0.43269231
combinedAll	SDKZ0057	PT-healthy	chr1_71046474_71046687	32	11	0.43292683	0.44444444	0.61111111	0.27990245	0.25000000	0.25361842	0.64968437	0.56543651
combinedAll	SDKZ0057	PT-altered	chr1_71046474_71046687	28	11	0.47682119	0.40000000	0.66666667	0.20457208	0.19867550	0.33891718	0.50410784	0.68761905
combinedAll	SDKZ0057	PT-healthy	chr1_77770907_77771083	14	10	0.25531915	0.08333333	0.25000000	0.32247271	0.10638298	0.16898148	0.29586931	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_77770907_77771083	28	10	0.40476190	0.36363636	0.50000000	0.21347745	0.07738095	0.29201901	0.54304437	0.69184245
combinedAll	SDKZ0057	PT-healthy	chr1_78494840_78494925	14	7	0.90476190	0.41666667	1.00000000	0.81566600	0.09523810	0.78547406	0.34608547	0.20854592
combinedAll	SDKZ0057	PT-altered	chr1_78494840_78494925	12	7	0.90361446	0.41666667	1.00000000	0.29799553	0.09638554	0.76279192	0.43410259	-0.02040816
combinedAll	SDKZ0057	PT-healthy	chr1_78651400_78651574	27	8	0.78512397	0.58823529	0.94117647	0.22138558	0.16528926	0.60361928	0.59372048	0.26810013
combinedAll	SDKZ0057	PT-altered	chr1_78651400_78651574	22	8	0.77011494	0.36363636	0.90909091	0.64522433	0.14942529	0.63068182	0.44221390	0.55782313
combinedAll	SDKZ0057	PT-healthy	chr1_84621706_84621793	20	6	0.22448980	0.76923077	0.76923077	0.00594643	0.42857143	0.07834402	0.60582755	0.15934832
combinedAll	SDKZ0057	PT-altered	chr1_84621706_84621793	14	6	0.23943662	0.63636364	0.63636364	0.03242583	0.40845070	0.08009238	0.69973663	0.12803131
combinedAll	SDKZ0057	PT-healthy	chr1_85578046_85578112	14	6	0.27083333	0.53846154	0.53846154	0.03537417	0.32291667	0.13519977	0.61663277	0.80952381
combinedAll	SDKZ0057	PT-altered	chr1_85578046_85578112	12	6	0.09615385	0.41666667	0.41666667	0.00913715	0.31730769	0.05040911	0.32052775	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_87151641_87151697	13	5	0.07000000	0.33333333	0.33333333	0.00284577	0.19000000	0.03939615	0.27246428	0.18750000
combinedAll	SDKZ0057	PT-altered	chr1_87151641_87151697	17	5	0.16296296	0.41176471	0.41176471	0.01661825	0.34814815	0.05990199	0.59787962	0.30843915
combinedAll	SDKZ0057	PT-healthy	chr1_87684439_87684612	17	9	0.20000000	0.25000000	0.33333333	0.14685707	0.06250000	0.18755208	0.34647214	0.71428571
combinedAll	SDKZ0057	PT-altered	chr1_87684439_87684612	22	9	0.06299213	0.31250000	0.31250000	0.00249513	0.20472441	0.01727672	0.21505980	0.49382716
combinedAll	SDKZ0057	PT-healthy	chr1_89197907_89197971	11	6	0.50000000	0.54545455	0.63636364	0.17602007	0.14634146	0.30303030	0.65674135	0.31543122
combinedAll	SDKZ0057	PT-altered	chr1_89197907_89197971	19	6	0.63709677	0.29411765	0.70588235	0.44681355	0.12096774	0.50022694	0.56953692	0.67265037
combinedAll	SDKZ0057	PT-healthy	chr1_91546781_91546870	12	9	0.80851064	0.41666667	0.83333333	0.48119264	0.07446809	0.60714360	0.51669597	0.47417978
combinedAll	SDKZ0057	PT-altered	chr1_91546781_91546870	12	9	0.78021978	0.81818182	1.00000000	0.28427496	0.21978022	0.49503441	0.57166140	0.03658588
combinedAll	SDKZ0057	PT-healthy	chr1_92859273_92859355	26	6	0.10989011	0.25000000	0.33333333	0.06175605	0.10989011	0.10752315	0.35385931	0.63317308
combinedAll	SDKZ0057	PT-altered	chr1_92859273_92859355	26	6	0.09174312	0.12500000	0.12500000	0.00687741	0.12844037	0.00781250	0.09328500	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_94417575_94417821	45	10	0.03431373	0.03571429	0.07142857	0.00418982	0.02941176	0.03791887	0.14752171	0.62916667
combinedAll	SDKZ0057	PT-altered	chr1_94417575_94417821	34	10	0.01369863	0.00000000	0.00000000	0.00087655	0.00000000	0.00000000	-0.00000000	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_99765758_99765899	17	12	0.73333333	0.15384615	0.76923077	0.44892882	0.02857143	0.66711538	0.30563438	0.70370370
combinedAll	SDKZ0057	PT-altered	chr1_99765758_99765899	15	12	0.56470588	0.33333333	0.66666667	0.46599335	0.11764706	0.47000000	0.54542986	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_111689693_111689773	11	7	0.27272727	0.63636364	0.63636364	0.02041322	0.30681818	0.10234077	0.61703871	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_111689693_111689773	13	7	0.51515152	0.61538462	0.69230769	0.38566058	0.25252525	0.28394765	0.73275725	0.42873016
combinedAll	SDKZ0057	PT-healthy	chr1_111689898_111689971	17	6	0.12631579	0.45454545	0.45454545	0.00777642	0.25263158	0.05353363	0.45515694	0.62962963
combinedAll	SDKZ0057	PT-altered	chr1_111689898_111689971	19	6	0.21100917	0.27272727	0.27272727	0.23460609	0.10091743	0.09550594	0.53124339	-0.03571429
combinedAll	SDKZ0057	PT-healthy	chr1_114154118_114154580	29	30	0.94594595	0.15000000	1.00000000	0.84075005	0.03783784	0.91864390	0.17295450	0.13690476
combinedAll	SDKZ0057	PT-altered	chr1_114154118_114154580	33	30	0.87244898	0.26923077	0.96153846	0.75825680	0.09183673	0.77600498	0.32499391	0.24404762
combinedAll	SDKZ0057	PT-healthy	chr1_115283102_115283164	13	5	0.87142857	0.36363636	1.00000000	0.42864635	0.12857143	0.74325643	0.43123056	0.48324515
combinedAll	SDKZ0057	PT-altered	chr1_115283102_115283164	14	5	0.82022472	0.78571429	1.00000000	0.22441899	0.17977528	0.52640394	0.66420803	0.00711881
combinedAll	SDKZ0057	PT-healthy	chr1_116109914_116110047	23	9	0.06349206	0.36842105	0.36842105	0.00115440	0.24603175	0.01517544	0.21240781	-0.02777778
combinedAll	SDKZ0057	PT-altered	chr1_116109914_116110047	18	9	0.04081633	0.07692308	0.07692308	0.00253097	0.07142857	0.00635728	0.23178265	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_116775202_116775289	12	7	0.78048780	0.27272727	0.90909091	0.44982313	0.09756098	0.75390706	0.31991614	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_116775202_116775289	13	7	0.76190476	0.09090909	0.72727273	0.91483017	0.01190476	0.66919192	0.27100200	0.80000000
combinedAll	SDKZ0057	PT-healthy	chr1_116987299_116987483	26	10	0.59829060	0.53846154	0.76923077	0.32319969	0.15384615	0.42864029	0.62673847	0.56210317
combinedAll	SDKZ0057	PT-altered	chr1_116987299_116987483	22	10	0.60000000	0.18181818	0.72727273	0.43920730	0.04761905	0.61642045	0.43502582	0.73571429
combinedAll	SDKZ0057	PT-healthy	chr1_117172021_117172193	14	11	0.10975610	0.20000000	0.20000000	0.01417989	0.09756098	0.04809028	0.31216236	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_117172021_117172193	25	11	0.04516129	0.22222222	0.22222222	0.00138055	0.12903226	0.02137748	0.20832249	0.45833333
combinedAll	SDKZ0057	PT-healthy	chr1_143651678_143651750	17	5	0.05479452	0.33333333	0.33333333	0.00127815	0.33561644	0.00536123	0.28457264	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_143651678_143651750	14	5	0.03937008	0.28571429	0.28571429	0.00103762	0.29133858	0.00982763	0.21114384	-0.01562500
